Tipo de dato,Archivo,Tamaño (bytes),AES-256 tiempo total (s),ECDSA tiempo total (s),AES-256 tiempo medio/op,ECDSA tiempo medio/op
PlainText,PlainText_1KB.txt,1024,0.000148,0.003046,1.48e-06,3.046e-05
PlainText,PlainText_488KB.txt,500000,0.045245,0.026426,0.00045245,0.00026426
PlainText,PlainText_2441KB.txt,2500000,0.278632,0.123478,0.00278632,0.00123478
PlainText,PlainText_500MB.txt,500000000,54.921267,23.773837,0.54921267,0.23773837
BinaryDLL,Binary_1KB.dll,1024,0.000144,0.00247,1.44e-06,2.47e-05
BinaryDLL,Binary_488KB.dll,500000,0.045146,0.026382,0.00045146,0.00026382
BinaryDLL,Binary_2441KB.dll,2500000,0.276645,0.121278,0.00276645,0.00121278
BinaryDLL,Binary_500MB.dll,500000000,55.127193,23.823318,0.55127193,0.23823318
ImageJPG,Image_720p.jpg,695962,0.087519,0.03589,0.00087519,0.0003589
ImageJPG,Image_1080p.jpg,1566658,0.17796,0.077265,0.0017796,0.00077265
ImageJPG,Image_4k.jpg,6258715,0.723854,0.300666,0.00723854,0.00300666
